Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
add_out_sparse_cpu,,,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,11.94539249,,100,100,100,100,100,100,100,100,100,100,100,100
sort_cpu,,,96.51065915,97.57412399,97.97598628,98.59838275,99.05905415,99.05905415,99.05905415,99.05905415,99.40700809,100,100,100,,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578,28.42440578
sort_cpu_stable,,,97.19997308,98.45190819,99.24278118,99.57932288,99.69374706,99.80480582,99.84519082,99.94615333,100,100,100,100,,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303,23.99542303
kl_div,,,92.13073539,95.02379456,96.43889737,97.43377929,98.20777588,98.47894406,98.74652061,99.18829128,99.20086199,99.44509293,99.92457574,100,,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564,18.65852564
unfold,,,100,100,100,100,100,100,100,100,100,100,100,100,,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672,54.50819672
expand_as,,,100,100,100,100,100,100,100,100,100,100,100,100,,32,32,32,32,32,32,32,32,32,32,32,32
linear,,,56.01741725,71.27565214,79.17993791,85.65294521,89.98105068,93.31129299,95.13970084,95.85937185,97.36322219,98.40140306,99.11301052,100,,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245,14.35310245
mse_loss,,,97.84802024,99.07336849,99.45743286,99.73786082,99.74700521,99.76529399,99.77443838,99.78053464,99.95122992,99.98171122,99.98171122,100,,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835,16.61230835
sub,,,95.20113631,95.59681428,97.06792472,97.32156445,97.92522701,98.41728808,99.10718815,99.5333029,99.77172424,100,100,100,,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865,18.18596865
repeat_interleave,,,78.59051611,81.24705266,86.19858528,88.71888918,89.68823684,89.9240241,90.5685093,92.88446424,93.94288708,95.64579513,98.20801677,100,,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853,29.65679853
