Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
Mod,11741.4,,8351.2,9328.6,9833.6,10402,10675.4,10946.2,11029.2,11184.8,11408.8,11598,11630,11741.4,,8977.2,9075.4,9488.4,9569.4,9703.2,9910.4,10124.8,10207.6,10336.4,10344.6,10347.2,10437.2
MulNoNan,13909.8,,9631.6,10564.2,11351.2,11768.8,11987.6,12265.2,12728.8,12832,13297.2,13589,13848.2,13909.8,,10019.4,10217.2,10615,11004.2,11023.4,11097.8,11238.8,11486.6,11495,11510,11510.2,11510.2
NotEqual,23429,,14706.2,15636,16658.6,17046.4,17776.8,18471.8,19081.8,19671,20042,20139.4,20483.8,20577.2,,17697.8,18932.8,19930.8,20557.8,20962.2,21461.2,21890.4,22355.6,22660.8,22914,23249.4,23429
Pow,17773.2,,10468.4,12744.8,13855.6,14443.6,14817.6,15157.2,15940.8,16593,16772.8,17140.4,17591.2,17773.2,,12757.8,13349.2,13777.4,14038.2,14075.8,14355.8,14569.8,14705.8,14954.8,15093.8,15161.6,15291.6
Prod,9548.2,,8022.8,8222.6,8305.2,8520.2,8650.8,8802.2,8949.8,9174.2,9289.8,9338,9491.4,9548.2,,8238.2,8434.4,8682.6,8767.6,8832.6,8971.8,9047,9115.2,9254,9378.4,9436.2,9531
RealDiv,12828,,8871.8,9646,10170.6,10631.6,10780,11198,11661.8,11968.8,12094.4,12254.8,12672.4,12828,,10182.8,10834,11218.4,11306,11318,11503.4,11526,11663.2,11844.2,12006.6,12070.4,12116.6
Reciprocal,6631,,6626.2,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,,6631,6631,6631,6631,6631,6631,6631,6631,6631,6631,6631,6631
Rint,5759.8,,5751.8,5751.8,5751.8,5753.8,5753.8,5753.8,5755.8,5757.8,5757.8,5759.8,5759.8,5759.8,,5752.2,5752.2,5752.2,5752.2,5752.2,5752.2,5752.2,5752.2,5752.2,5752.2,5752.2,5752.2
Round,6547.8,,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.8,6546.8,6546.8,,6538.2,6543.8,6545.8,6545.8,6545.8,6547.8,6547.8,6547.8,6547.8,6547.8,6547.8,6547.8
Rsqrt,6671.6,,6653.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,,6669.2,6670.4,6671.6,6671.6,6671.6,6671.6,6671.6,6671.6,6671.6,6671.6,6671.6,6671.6
SegmentMax,9181.2,,7449.2,7629.8,7798.4,7988.2,8295.2,8446.2,8710.4,8893.4,8918.8,9062.2,9157.6,9181.2,,7342.4,7522.4,7572.8,7651,7727.2,7822,7864.8,7914.4,7958,8016.8,8062,8119.8
SegmentMean,9031,,7728.6,7915.2,7985.2,8176.4,8395.8,8508.4,8622.4,8691.8,8809.4,8904.2,8989.2,9031,,7357.8,7497.4,7646.6,7766,7929.4,7964.6,8015.2,8053,8147.4,8195.4,8248.8,8335
SelectV2,31509.2,,24588,26120.4,27589.6,28246.8,28538,29025.6,29289.8,29475,29753.8,30051.8,30263.8,30456.4,,27565.8,28611.8,29445.4,29930,30170,30537.8,30694.8,30906.6,31127,31219.2,31360.6,31509.2
Sigmoid,6760.8,,6760.2,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,,6754.6,6757,6757,6757,6757,6757,6757,6757,6757,6757,6757,6757
Sign,7384.4,,7370.2,7382,7382,7382,7382,7382,7382,7382,7382,7382,7382,7382,,7379.6,7384.4,7384.4,7384.4,7384.4,7384.4,7384.4,7384.4,7384.4,7384.4,7384.4,7384.4
Sin,6571.8,,6569.4,6569.4,6569.8,6569.8,6569.8,6569.8,6571.8,6571.8,6571.8,6571.8,6571.8,6571.8,,6569.8,6571,6571,6571,6571,6571,6571,6571,6571,6571,6571,6571
Sinh,6523,,6520.6,6521,6521,6521,6521,6521,6521,6521,6523,6523,6523,6523,,6516.6,6516.6,6516.6,6516.6,6516.6,6516.6,6516.6,6516.6,6516.6,6516.6,6516.6,6516.6
SparseMatMul,10196.6,,9455.6,9719.8,9865.8,9978.4,10051.6,10071.8,10076.2,10090.6,10114.2,10133.6,10175.2,10196.6,,9314,9397.6,9462.6,9479.2,9541.6,9559.6,9577.8,9629.6,9650,9653,9655.4,9668.6
Sqrt,6696.4,,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,,6694,6695.2,6696.4,6696.4,6696.4,6696.4,6696.4,6696.4,6696.4,6696.4,6696.4,6696.4
Square,8060.8,,8031.4,8047.4,8059.6,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,,8037.2,8047.6,8055,8055,8055,8055,8055,8055,8055,8055,8055,8055
Sum,9574.6,,7882.4,8001.8,8086.2,8180.6,8306.2,8420.2,8577.6,8653.4,8797.2,9032.2,9488.2,9574.6,,7868.4,8013.8,8060.2,8173.6,8444,8572,8663.4,8770,8853.6,8975.4,9038.6,9049.6
Tan,6523,,6520.2,6521,6521,6521,6521,6521,6521,6521,6521,6523,6523,6523,,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2
Tanh,6587.4,,6583.6,6583.6,6584,6584,6584,6584,6584,6584,6584,6584,6584,6584,,6586.2,6587.4,6587.4,6587.4,6587.4,6587.4,6587.4,6587.4,6587.4,6587.4,6587.4,6587.4
TruncateDiv,19471.2,,11614.6,14106.2,15189.2,16395.2,17421.4,17810,18300.8,18774.4,19081.8,19164.2,19249.4,19471.2,,12854.6,14121.8,14661.4,15254,15805.4,16283.6,16680,16939.2,17139.6,17147,17214.4,17487.8
TruncateMod,11961.8,,9133.6,10049.4,10362.2,10728.4,10997.8,11309.6,11385.8,11461.4,11610,11729.2,11951.2,11961.8,,8986,9203.2,9343.2,9785.2,9922,10051.6,10277,10282.8,10292.4,10374.2,10379.6,10466.6
Xdivy,13930,,9618,10934.2,11741.8,12229.8,12514.6,12734.8,12937.2,13248.2,13537.4,13773,13814.8,13930,,9968.4,10373.4,10807.4,10933.6,11316,11437,11549.8,11627.6,11674.2,11681.6,11734.6,11807.8
Xlog1py,14323,,9620.8,10777.2,11640.6,12183.6,12452.2,12749.2,13174.8,13661.6,13823.8,14011,14154.8,14323,,10352.2,10887.6,11026.4,11289.6,11609,11745.8,11816.4,11875.2,11996.6,12009.6,12095,12131
Xlogy,13860.2,,10202,10863.6,11528.4,12100.4,12373.6,12585.6,12722.4,12828,13039,13221.2,13488.4,13860.2,,10065.6,10415.8,10787.4,10968.8,11122.2,11428.8,11515.2,11628,11650.2,11659.2,11738.2,11823.8
BiasAdd,16179.4,,13984.4,15295.4,15825,16005,16056.6,16088.2,16100.4,16136.2,16138.6,16144.4,16177.8,16179.4,,12434.4,12905.8,13144,13441.8,13702.4,13952.6,14063,14210,14312.2,14458.2,14537.6,14590.4
Elu,6449.8,,6445.8,6445.8,6445.8,6447.8,6447.8,6447.8,6449.8,6449.8,6449.8,6449.8,6449.8,6449.8,,6436.2,6438.6,6438.6,6438.6,6438.6,6438.6,6438.6,6438.6,6438.6,6438.6,6438.6,6438.6
LogSoftmax,9988.8,,9737.2,9843,9879.4,9904.4,9941,9965.6,9965.6,9966.4,9966.8,9985,9988.8,9988.8,,9645,9650.2,9653.4,9653.4,9653.4,9653.4,9653.4,9653.4,9653.4,9653.4,9653.4,9653.4
NthElement,8525.4,,7945,8024,8126.8,8181.2,8247,8313.6,8382,8411.6,8449.6,8500.2,8509.4,8525.4,,8074,8192.6,8206.4,8228.4,8229,8269.6,8337.8,8391.8,8408.4,8414.2,8414.2,8416.6
Relu,8144.8,,8133,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,,8122,8134.8,8136.2,8138.6,8138.6,8138.6,8138.6,8138.6,8138.6,8138.6,8138.6,8138.6
Relu6,8595.4,,8575.2,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,,8581.2,8589,8591.8,8591.8,8591.8,8591.8,8591.8,8591.8,8591.8,8591.8,8591.8,8591.8
Softmax,10053.4,,9941.6,9948.2,9961,9997.4,10010,10028.2,10040.4,10043.8,10053,10053.2,10053.4,10053.4,,9676.2,9683.6,9683.6,9683.6,9683.6,9683.6,9683.6,9683.6,9683.6,9683.6,9683.6,9683.6
Softplus,6561.4,,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,,6556.4,6560.8,6560.8,6560.8,6560.8,6560.8,6560.8,6560.8,6560.8,6560.8,6560.8,6560.8
Softsign,6328.6,,6326.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,,6310.2,6317.2,6317.2,6317.2,6317.2,6317.2,6317.2,6317.2,6317.2,6317.2,6317.2,6317.2
SerializeTensor,7400.4,,7392.2,7398,7400,7400.2,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,,7388.6,7393.8,7396.2,7396.2,7396.2,7396.2,7397.4,7397.4,7397.4,7397.4,7397.4,7397.4
Multinomial,7181.4,,6257.4,6370.8,6489.2,6533.4,6558.6,6654.8,6694.8,6745.4,6768.4,6945,7063,7181.4,,5606.6,6237.4,6318.2,6352,6419.6,6469.8,6554.4,6554.8,6627.8,6701.2,6701.2,6701.2
RandomUniformInt,5709,,4627.4,4627.4,4682.6,4682.6,4684.6,4684.6,4763.4,4763.4,4766.8,4769,5700,5700,,5579.8,5594.6,5594.6,5594.8,5594.8,5594.8,5594.8,5617,5665.6,5665.6,5709,5709
AsString,7280.4,,6645.6,6695.8,6702.4,6702.4,6742.2,6742.2,6768.8,6771.6,6850.2,6850.2,6850.2,6925,,6578.6,6649.8,6720.2,6796.2,6911.8,6931.4,6990,7029.4,7091.8,7167.2,7231.6,7280.4
