Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
SegmentMax,9181.2,,7449.2,7629.8,7798.4,7988.2,8295.2,8446.2,8710.4,8893.4,8918.8,9062.2,9157.6,9181.2,,7259.4,7668.2,7961,8119.2,8304.2,8415.2,8537.4,8569.6,8607,8623.2,8675,8728.8
SegmentMean,9031,,7728.6,7915.2,7985.2,8176.4,8395.8,8508.4,8622.4,8691.8,8809.4,8904.2,8989.2,9031,,7303,7673.6,7884.2,8115.4,8254,8301,8399.4,8508.2,8537.2,8611,8656,8703.6
SelectV2,30456.4,,24588,26120.4,27589.6,28246.8,28538,29025.6,29289.8,29475,29753.8,30051.8,30263.8,30456.4,,12317.2,13366.4,13758.2,14024.6,14191.8,14218.6,14293,14373.4,14463.6,14468,14520.4,14534
Sigmoid,6761.4,,6760.2,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,,6697.4,6757.8,6759,6760.2,6760.2,6760.2,6760.2,6760.2,6760.2,6760.2,6761.4,6761.4
Sign,7384.6,,7370.2,7382,7382,7382,7382,7382,7382,7382,7382,7382,7382,7382,,6478.8,6772.4,7127.8,7317.2,7329.4,7383.4,7383.4,7383.4,7384.6,7384.6,7384.6,7384.6
Sin,6571.8,,6569.4,6569.4,6569.8,6569.8,6569.8,6569.8,6571.8,6571.8,6571.8,6571.8,6571.8,6571.8,,6316,6569,6571,6571,6571,6571,6571,6571,6571,6571,6571,6571
Sinh,6523,,6520.6,6521,6521,6521,6521,6521,6521,6521,6523,6523,6523,6523,,6327.2,6472.6,6522.8,6522.8,6522.8,6522.8,6522.8,6522.8,6522.8,6522.8,6522.8,6522.8
SparseMatMul,10223,,9455.6,9719.8,9865.8,9978.4,10051.6,10071.8,10076.2,10090.6,10114.2,10133.6,10175.2,10196.6,,10145.2,10193,10203.4,10206.6,10214,10214.8,10218.2,10220,10221,10222,10222,10223
Sqrt,6695.6,,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,6695.6,,6563.4,6624.8,6692.4,6692.6,6693.8,6695,6695,6695,6695,6695,6695,6695
Square,8060.8,,8031.4,8047.4,8059.6,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,8060.8,,6492.8,6684.2,7046.2,7371.8,7605.8,7751.2,7770,7770,7775.4,7810.4,7913.8,7948.6
Sum,12120.2,,7882.4,8001.8,8086.2,8180.6,8306.2,8420.2,8577.6,8653.4,8797.2,9032.2,9488.2,9574.6,,8449.4,9456.6,10062.6,10441.6,10786.2,11083.2,11370.6,11538,11592.4,11610.8,11795.6,12120.2
Tan,6523,,6520.2,6521,6521,6521,6521,6521,6521,6521,6521,6523,6523,6523,,6316,6465.6,6515,6515,6515.6,6515.6,6515.6,6515.6,6515.6,6515.6,6515.6,6515.6
Tanh,6585.2,,6583.6,6583.6,6584,6584,6584,6584,6584,6584,6584,6584,6584,6584,,6437.6,6534.6,6535.8,6585,6585,6585,6585.2,6585.2,6585.2,6585.2,6585.2,6585.2
TruncateDiv,19471.2,,11614.6,14106.2,15189.2,16395.2,17421.4,17810,18300.8,18774.4,19081.8,19164.2,19249.4,19471.2,,10039.6,11151.8,11741,12782.4,13297.2,14140,14819,15146.4,15312,15892.4,16122.2,16464.6
TruncateMod,11961.8,,9133.6,10049.4,10362.2,10728.4,10997.8,11309.6,11385.8,11461.4,11610,11729.2,11951.2,11961.8,,8884.6,9305.8,9815,10195.6,10375.6,10700.4,10867.6,11239.2,11278.4,11324.8,11346.8,11487
Xdivy,13930,,9618,10934.2,11741.8,12229.8,12514.6,12734.8,12937.2,13248.2,13537.4,13773,13814.8,13930,,9512,11017.8,11589.8,12342.4,12668.6,12912.6,13264.2,13396.4,13503,13588.4,13822,13835.2
Xlog1py,14323,,9620.8,10777.2,11640.6,12183.6,12452.2,12749.2,13174.8,13661.6,13823.8,14011,14154.8,14323,,10248,11181.6,11969,12344.8,12819.4,13035.4,13195.8,13316.6,13386.4,13505.2,13561.8,13691.4
Xlogy,14056.4,,10202,10863.6,11528.4,12100.4,12373.6,12585.6,12722.4,12828,13039,13221.2,13488.4,13860.2,,9665.6,11015.2,11404.6,11812,12271.4,12501,13276.2,13388.2,13488,13534.4,13818.4,14056.4
BiasAdd,16179.4,,13984.4,15295.4,15825,16005,16056.6,16088.2,16100.4,16136.2,16138.6,16144.4,16177.8,16179.4,,9975.2,10562.8,10810.8,10841.4,11304,11523.2,11633,11779,11844.4,11864.8,11878.6,11912.8
Elu,6449.8,,6445.8,6445.8,6445.8,6447.8,6447.8,6447.8,6449.8,6449.8,6449.8,6449.8,6449.8,6449.8,,6435.4,6439,6439,6440.2,6440.2,6441.4,6441.4,6441.4,6441.4,6441.4,6441.4,6441.4
LogSoftmax,9988.8,,9737.2,9843,9879.4,9904.4,9941,9965.6,9965.6,9966.4,9966.8,9985,9988.8,9988.8,,9408.8,9487,9801.4,9853,9854.2,9854.6,9855,9855,9855,9855,9855,9855.4
NthElement,8525.4,,7945,8024,8126.8,8181.2,8247,8313.6,8382,8411.6,8449.6,8500.2,8509.4,8525.4,,6755.4,7166.2,7404,7530.8,7564.8,7607.2,7638.4,7685.2,7696.6,7793.8,7797.8,7832.4
Relu,8144.8,,8133,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,8144.8,,7178.8,7394,7529.6,7623.2,7712.8,7848.6,8008,8016.6,8026,8029.6,8080.8,8092.6
