Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
tanhshrink,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,,,494.6,495,495,495,495,495,495,495,495,495,495,495,,,126.6,126.6,126.6,126.6,126.6,126.6,126.6,126.6,126.6,126.6,126.6,126.6
threshold,485.6,485.2,485.4,485.4,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,,,219.4,220,220,220,220,220,220,220,220,220,220,220,,,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4
triplet_margin_loss,1610.6,1598,1604.4,1606.2,1606.4,1608,1609,1609,1609.4,1609.4,1609.4,1609.4,1610.6,,,1002.8,1023.2,1035.2,1041.4,1044,1053.2,1059.2,1060.2,1069,1069.4,1070.4,1070.8,,,796.8,796.8,796.8,796.8,796.8,796.8,796.8,796.8,796.8,796.8,796.8,796.8
triplet_margin_with_distance_loss,1331.2,1327,1327.2,1328.6,1329.8,1330.8,1330.8,1330.8,1331,1331,1331,1331.2,1331.2,,,971,988.2,993.4,1005.8,1011,1018.6,1021.2,1028.6,1035.8,1036.4,1036.8,1037,,,785.4,785.4,785.4,785.4,785.4,785.4,785.4,785.4,785.4,785.4,785.4,785.4
,,,,,,,,,,,,,1181.487719,,,,,,,,,,,,,,754.7333333,,,,,,,,,,,,,,484.1508772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
adaptive_avg_pool1d,,99.89558862,99.93474289,99.93474289,99.96084573,99.97389715,99.97389715,99.98694858,100,100,100,100,100,,,60.79352649,61.47220047,61.66797181,61.74628034,61.98120595,62.17697729,62.17697729,62.20308014,62.20308014,62.20308014,62.20308014,62.20308014,,,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176,49.28217176
