Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
conv3d,,,65.36059057,75.15834535,82.41820644,86.92176648,90.52985629,92.94980999,94.37382606,96.4661687,97.52762853,98.30515878,99.56318525,100,,,19.5824051,30.85222557,37.618486,39.23470056,40.53204036,43.25339623,46.56008387,49.12418643,49.94103001,51.64023937,52.74101254,53.38749836
conv_transpose1d,,,88.31441048,92.38427948,95.6768559,97.2139738,97.45851528,97.6768559,98.80349345,99.81659389,99.97379913,99.97379913,99.97379913,100,,,45.00436681,51.2139738,61.34497817,63.25764192,68.8209607,69.5371179,71.05676856,72.0349345,72.3231441,73.88646288,76.38427948,76.58515284
conv_transpose2d,,,82.14799154,91.23044397,93.07399577,94.31712474,97.05708245,98.03805497,98.35940803,98.48625793,98.53699789,98.55391121,98.57928118,100,,,32.13530655,36.77801268,42.52008457,48.41437632,49.87737844,51.18816068,51.61945032,51.62790698,51.68710359,52.30443975,52.30443975,55.0782241
cosine_similarity,,,99.91811333,99.91811333,99.950868,99.96724533,99.98362267,99.98362267,99.98362267,100,100,100,100,100,,,84.14674091,84.9164756,85.30953161,86.30854897,86.30854897,86.58696364,86.83262365,86.84900098,86.84900098,87.07828366,87.07828366,87.07828366
cross_entropy,,,83.81253594,86.88901668,91.41268929,92.75445658,93.76078206,95.06421315,95.37090282,95.65842438,97.02894384,98.00651716,99.71247844,100,,,11.75004792,16.28330458,18.61222925,20.36611079,20.66321641,21.94747939,22.60877899,24.73643857,25.28272954,26.84493004,27.00785892,27.1324516
ctc_loss,,,99.53954496,99.62080173,99.75622969,99.86457205,99.91874323,99.97291441,100,100,100,100,100,100,,,57.77356446,58.04442037,58.64030336,58.96533044,59.53412784,59.83206934,59.91332611,60.21126761,60.64463705,60.88840737,62.45937161,65.00541712
dropout,,,99.77163157,99.82238011,99.97462573,100,100,100,100,100,100,100,100,100,,,75.99594012,80.89317432,81.88277087,83.04998731,83.45597564,84.06495813,84.14108094,84.24257803,84.24257803,84.24257803,84.31870084,84.44557219
dropout2d,,,99.844479,99.90279938,99.96111975,100,100,100,100,100,100,100,100,100,,,69.61508554,73.87247278,76.01088647,78.05209953,78.67418351,80.67651633,82.81493002,83.39813375,83.53421462,83.53421462,83.98133748,85.7503888
dropout3d,,,99.80559876,99.90279938,99.94167963,99.96111975,100,100,100,100,100,100,100,100,,,70.72317263,73.23094868,74.10575428,74.53343701,75.0777605,75.25272162,75.8748056,75.89424572,77.23561431,79.35458787,80.17107309,80.24883359
elu,,,100,100,100,100,100,100,100,100,100,100,100,100,,,65.3038674,66.74033149,72.9281768,82.6519337,82.6519337,82.6519337,82.6519337,82.6519337,82.6519337,90.27624309,90.27624309,90.27624309
embedding,,,95.57788945,97.08542714,97.68844221,98.3919598,98.3919598,98.5678392,98.5678392,98.5678392,99.24623116,100,100,100,,,67.46231156,68.76884422,68.99497487,70.32663317,70.85427136,71.6080402,73.36683417,73.5678392,73.5678392,74.77386935,74.79899497,74.8241206
embedding_bag,,,43.81073577,49.82646923,72.5821379,83.26006478,91.02267469,94.31975937,96.22859787,98.14900509,99.09763998,99.43313281,99.84960666,100,,,25.87922258,28.72512726,35.26145303,36.8926423,37.60990282,37.8528459,37.95696437,38.01480796,38.06108283,39.44932901,39.44932901,39.50717261
feature_alpha_dropout,,,99.83079526,99.92748368,99.95165579,99.95165579,100,100,100,100,100,100,100,100,,,81.07324148,82.08846991,82.11264201,82.11264201,82.57191201,82.57191201,83.27290307,84.45733623,85.2066715,85.2066715,85.71428571,86.31858835
