Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
dropout,,,99.7210246,99.7717474,99.9239158,99.9492772,99.9492772,99.9492772,99.9492772,99.9492772,99.9492772,99.9492772,99.9492772,99.9492772,,99.746386,99.9492772,99.9746386,100,100,100,100,100,100,100,100,100
dropout2d,,,99.80567431,99.86397202,99.92226972,99.96113486,99.96113486,99.96113486,99.96113486,99.96113486,99.96113486,99.96113486,99.96113486,99.96113486,,99.82510688,99.94170229,99.94170229,100,100,100,100,100,100,100,100,100
dropout3d,,,99.80559876,99.90279938,99.94167963,99.96111975,100,100,100,100,100,100,100,100,,99.82503888,99.94167963,99.96111975,99.98055988,99.98055988,99.98055988,99.98055988,99.98055988,99.98055988,99.98055988,99.98055988,99.98055988
elu,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
embedding,,,95.004995,96.5034965,97.1028971,97.8021978,97.8021978,97.97702298,97.97702298,97.97702298,98.65134865,99.4005994,99.4005994,99.4005994,,95.52947053,98.67632368,98.67632368,98.67632368,99.8001998,99.8001998,99.8001998,99.82517483,99.82517483,99.82517483,99.92507493,100
embedding_bag,,,42.71373788,48.57884051,70.76471915,81.17527634,88.74351455,91.95804196,93.81908414,95.69140537,96.61628694,96.9433792,97.34942477,97.49605233,,41.2700203,49.86465148,66.15159035,69.96390706,78.11865554,81.22039251,87.05165802,90.25490638,96.70651929,96.96593729,98.43221295,100
feature_alpha_dropout,,,99.83079526,99.92748368,99.95165579,99.95165579,100,100,100,100,100,100,100,100,,99.78245105,99.85496737,99.85496737,99.85496737,99.85496737,99.85496737,99.85496737,99.85496737,99.85496737,99.85496737,99.85496737,99.85496737
gelu,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
gumbel_softmax,,,100,100,100,100,100,100,100,100,100,100,100,100,,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351,99.96481351
hardshrink,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
hardtanh,,,99.86276304,99.88563586,99.88563586,99.88563586,99.88563586,99.88563586,99.88563586,99.88563586,99.88563586,99.88563586,99.88563586,99.88563586,,99.97712717,99.97712717,99.97712717,99.97712717,99.97712717,99.97712717,99.97712717,99.97712717,100,100,100,100
hinge_embedding_loss,,,99.81926155,99.85799122,99.883811,99.90963078,99.92254067,99.92254067,99.93545056,99.93545056,99.94836044,99.96127033,99.96127033,99.96127033,,99.71598244,99.767622,99.90963078,99.92254067,99.93545056,99.96127033,99.97418022,99.97418022,99.97418022,100,100,100
huber_loss,,,99.479869,99.69177422,99.76883067,99.80735889,99.80735889,99.80735889,99.80735889,99.80735889,99.80735889,99.90367945,99.90367945,100,,99.42207667,99.63398189,99.73030245,99.73030245,99.86515122,99.90367945,99.92294356,99.92294356,99.92294356,99.92294356,99.92294356,99.92294356
instance_norm,,,88.42416561,90.53654415,92.04337417,92.43768483,92.63484016,92.78974792,92.98690325,93.11364597,93.11364597,93.18405858,99.91550486,100,,88.46641318,90.36755387,91.48007323,91.87438389,92.49401493,93.05731587,93.24038868,93.36713139,93.53612167,93.59245177,93.60653429,93.60653429
interpolate,,,62.36327572,74.44035137,82.75998867,86.85179938,90.44488524,92.81382828,93.93029187,94.88807027,96.80929442,97.89175404,98.94020969,100,,57.01331822,73.49390762,83.25871352,86.95381128,90.81892888,92.28676679,93.794276,94.87673562,95.94786058,96.59393596,97.26268065,98.03910456
kl_div,,,99.89911219,99.91928975,99.91928975,99.91928975,99.91928975,99.93946731,99.93946731,99.93946731,99.93946731,99.93946731,99.93946731,99.93946731,,99.95964487,100,100,100,100,100,100,100,100,100,100,100
